,Series_Reference,Period,Data_Value,Status Code,Type,Group,Description
0,CPIQ.SAP0200,2024.03,23.86,FINAL,Weighted average price,,Beer  bottles (supermarket & liquor store)
1,CPIQ.SAP0210,2024.03,8.2,FINAL,Weighted average price,,Beer  glass (licensed premises)
2,CPIQ.SAP0220,2024.03,29.94,FINAL,Weighted average price,,"Wine  cask, white (supermarket & liquor store)"
3,CPIQ.SAP0230,2024.03,54.5,FINAL,Weighted average price,,Whisky (liquor store)
4,CPIQ.SAP0240,2024.03,54.27,FINAL,Weighted average price,,Cigarettes (supermarket & convenience store)
5,CPIQ.SAP0300,2024.03,12.34,FINAL,Weighted average price,,Socks  men's (clothing store & department store)
6,CPIQ.SAP0320,2024.03,40.78,FINAL,Weighted average price,,"Dry cleaning  men's two-piece, woollen suit"
7,CPIQ.SAP0400,2024.03,63.45,FINAL,Weighted average price,,Spouting/guttering  plastic
8,CPIQ.SAP0410,2024.03,614.29,FINAL,Weighted average price,,Concrete blocks  390mm x 190mm x 190mm
9,CPIQ.SAP0420,2024.03,196.93,FINAL,Weighted average price,,"House paint  acrylic, white"
10,CPIQ.SAP0500,2024.03,221.48,FINAL,Weighted average price,,"Carpet  wool, heavy duty, cut pile, width 3.66m"
11,CPIQ.SAP0510,2024.03,1.3,FINAL,Weighted average price,,"Electric light bulb - standard, 100 watt (supermarket)"
12,CPIQ.SAP0531,2024.03,3.93,FINAL,Weighted average price,,Clothes washing powder  concentrate (supermarket)
13,CPIQ.SAP0541,2024.03,4.01,FINAL,Weighted average price,,Detergent  dishwashing liquid (supermarket)(3)
14,CPIQ.SAP0550,2024.03,4.85,FINAL,Weighted average price,,Cling food wrap  refill roll (supermarket)
15,CPIQ.SAP0600,2024.03,49.04,FINAL,Weighted average price,,"General Practitioner  consultation, adult without"
16,CPIQ.SAP0610,2024.03,91.48,FINAL,Weighted average price,,Optometrist  examination
17,CPIQ.SAP0620,2024.03,189.61,FINAL,Weighted average price,,"Dental examination  2 X-rays, scale and polish"
18,CPIQ.SAP0700,2024.03,187.88,FINAL,Weighted average price,,Car battery  12 volts
19,CPIQ.SAP0710,2024.03,27.45,FINAL,Weighted average price,,Petrol  91 octane
20,CPIQ.SAP0720,2024.03,29.37,FINAL,Weighted average price,,Petrol  95/98 octane
21,CPIQ.SAP0730,2024.03,21.32,FINAL,Weighted average price,,Diesel
22,CPIQ.SAP0740,2024.03,73.28,FINAL,Weighted average price,,Warrant of fitness  private car
23,CPIQ.SAP0800,2024.03,2.0,FINAL,Weighted average price,,"Postage  standard, medium-size envelope"
24,CPIQ.SAP0910,2024.03,4.69,FINAL,Weighted average price,,Pet food  canned (supermarket)
25,CPIQ.SAP1100,2024.03,87.35,FINAL,Weighted average price,,"Hairdressing  women's shampoo, cut, and blow wave"
26,CPIQ.SAP1110,2024.03,5.11,FINAL,Weighted average price,,"Bathroom soap  cake, 100g (supermarket)"
27,CPIQ.SAP1120,2024.03,6.52,FINAL,Weighted average price,,Shampoo (supermarket)
28,CPIQ.SAP1130,2024.03,3.77,FINAL,Weighted average price,,Tissues  facial (supermarket)
29,CPIQ.SAP1141,2024.03,7.35,FINAL,Weighted average price,,Toilet paper (supermarket)
30,CPIQ.SAP1142,2024.03,77.04,FINAL,Weighted average price,,Storage costs (excluding vehicle storage)
31,CPIQ.SE101,2024.03,1295.0,FINAL,Regional index,Auckland,Food
32,CPIQ.SE102,2024.03,1364.0,FINAL,Regional index,Auckland,Alcoholic beverages and tobacco
33,CPIQ.SE103,2024.03,1062.0,FINAL,Regional index,Auckland,Clothing and footwear
34,CPIQ.SE104,2024.03,1316.0,FINAL,Regional index,Auckland,Housing and household utilities
35,CPIQ.SE104101,2024.03,1164.0,FINAL,Regional index,Auckland,Actual rentals for housing
36,CPIQ.SE104201,2024.03,1584.0,FINAL,Regional index,Auckland,Purchase of housing
37,CPIQ.SE105,2024.03,1134.0,FINAL,Regional index,Auckland,Household contents and services
38,CPIQ.SE106,2024.03,1142.0,FINAL,Regional index,Auckland,Health
39,CPIQ.SE107,2024.03,1286.0,FINAL,Regional index,Auckland,Transport
40,CPIQ.SE107202,2024.03,1533.0,FINAL,Regional index,Auckland,Petrol
41,CPIQ.SE109,2024.03,1254.0,FINAL,Regional index,Auckland,Recreation and culture
42,CPIQ.SE111,2024.03,1267.0,FINAL,Regional index,Auckland,Miscellaneous goods and services
43,CPIQ.SE1A,2024.03,1258.0,FINAL,Regional index,Auckland,All Groups
44,CPIQ.SE201,2024.03,1273.0,FINAL,Regional index,Wellington,Food
45,CPIQ.SE202,2024.03,1358.0,FINAL,Regional index,Wellington,Alcoholic beverages and tobacco
46,CPIQ.SE203,2024.03,1088.0,FINAL,Regional index,Wellington,Clothing and footwear
47,CPIQ.SE204,2024.03,1333.0,FINAL,Regional index,Wellington,Housing and household utilities
48,CPIQ.SE204101,2024.03,1316.0,FINAL,Regional index,Wellington,Actual rentals for housing
49,CPIQ.SE204201,2024.03,1385.0,FINAL,Regional index,Wellington,Purchase of housing
50,CPIQ.SE205,2024.03,1140.0,FINAL,Regional index,Wellington,Household contents and services
51,CPIQ.SE206,2024.03,1161.0,FINAL,Regional index,Wellington,Health
52,CPIQ.SE207,2024.03,1250.0,FINAL,Regional index,Wellington,Transport
53,CPIQ.SE207202,2024.03,1398.0,FINAL,Regional index,Wellington,Petrol
54,CPIQ.SE209,2024.03,1190.0,FINAL,Regional index,Wellington,Recreation and culture
55,CPIQ.SE211,2024.03,1270.0,FINAL,Regional index,Wellington,Miscellaneous goods and services
56,CPIQ.SE2A,2024.03,1247.0,FINAL,Regional index,Wellington,All Groups
57,CPIQ.SE301,2024.03,1285.0,FINAL,Regional index,Rest of North Island,Food
58,CPIQ.SE302,2024.03,1427.0,FINAL,Regional index,Rest of North Island,Alcoholic beverages and tobacco
59,CPIQ.SE303,2024.03,1086.0,FINAL,Regional index,Rest of North Island,Clothing and footwear
60,CPIQ.SE304,2024.03,1449.0,FINAL,Regional index,Rest of North Island,Housing and household utilities
61,CPIQ.SE304101,2024.03,1416.0,FINAL,Regional index,Rest of North Island,Actual rentals for housing
62,CPIQ.SE304201,2024.03,1686.0,FINAL,Regional index,Rest of North Island,Purchase of housing
63,CPIQ.SE305,2024.03,1175.0,FINAL,Regional index,Rest of North Island,Household contents and services
64,CPIQ.SE306,2024.03,1232.0,FINAL,Regional index,Rest of North Island,Health
65,CPIQ.SE307,2024.03,1289.0,FINAL,Regional index,Rest of North Island,Transport
66,CPIQ.SE307202,2024.03,1486.0,FINAL,Regional index,Rest of North Island,Petrol
67,CPIQ.SE309,2024.03,1229.0,FINAL,Regional index,Rest of North Island,Recreation and culture
68,CPIQ.SE311,2024.03,1265.0,FINAL,Regional index,Rest of North Island,Miscellaneous goods and services
69,CPIQ.SE3A,2024.03,1295.0,FINAL,Regional index,Rest of North Island,All Groups
70,CPIQ.SE401,2024.03,1288.0,FINAL,Regional index,North Island,Food
71,CPIQ.SE402,2024.03,1390.0,FINAL,Regional index,North Island,Alcoholic beverages and tobacco
72,CPIQ.SE403,2024.03,1076.0,FINAL,Regional index,North Island,Clothing and footwear
73,CPIQ.SE404,2024.03,1364.0,FINAL,Regional index,North Island,Housing and household utilities
74,CPIQ.SE404101,2024.03,1257.0,FINAL,Regional index,North Island,Actual rentals for housing
75,CPIQ.SE404201,2024.03,1594.0,FINAL,Regional index,North Island,Purchase of housing
76,CPIQ.SE405,2024.03,1151.0,FINAL,Regional index,North Island,Household contents and services
77,CPIQ.SE406,2024.03,1183.0,FINAL,Regional index,North Island,Health
78,CPIQ.SE407,2024.03,1283.0,FINAL,Regional index,North Island,Transport
79,CPIQ.SE407202,2024.03,1496.0,FINAL,Regional index,North Island,Petrol
80,CPIQ.SE409,2024.03,1234.0,FINAL,Regional index,North Island,Recreation and culture
81,CPIQ.SE411,2024.03,1267.0,FINAL,Regional index,North Island,Miscellaneous goods and services
82,CPIQ.SE4A,2024.03,1270.0,FINAL,Regional index,North Island,All Groups
